org_name,org_website,opportunity_name,opportunity_type,location,application_open_date,deadline,application_url,info_page_url,what_it_supports,who_qualifies,entry_fee,award_amount,mediums_supported,source_link,extraction_date,link_status,notes
Artist Communities Alliance (ACA),https://artistcommunities.org/,Artist Response Fund (ARF),Grants,Global (eligible ACA member residency participants),Not specified,Not specified,https://airtable.com/app2XuDOVnu5HHUD5/shr0tzbJatrxhQ57n,https://artistcommunities.org/artist-response-fund,emergency relocation and crisis expenses for residency participants,"- Currently in residence at an ACA member program or in residence within past 12 months
- Experienced threat to safety/mental health during residency
- Attempted to remediate without reasonable accommodation",Free,"Up to $1,500",Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,Applications submitted via Airtable form; response typically within one week.
University of Utah,https://www.utah.edu/,Assistant/Associate Professor of Movement in Media (School of Dance),Other: Job,"Salt Lake City, Utah, USA",Not specified,Not specified,https://rr.jobsyn.org/CDA5E71507394D3D82ED80F986C26D5610,https://employment.utah.edu/salt-lake-city-ut/assistantassociate-professor-of-movement-in-media-in-the-school-of-dance/CDA5E71507394D3D82ED80F986C26D56/job/,faculty position in movement in media / screendance,- Not specified (see job posting),Free,Salary (commensurate with experience),Performance; Filmmaking (experimental),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,"Review of applications begins January 1, 2026 per job posting."
Arquetopia Foundation,https://www.arquetopia.org/,My First Arquetopia Residency,Residencies,"Puebla, Mexico",Rolling,Rolling,https://www.arquetopia.org/residency-application,https://www.arquetopia.org/special-themed-residency-programs,introductory residency for emerging artists; guided contextual immersion,"- Ages 20-25
- Emerging or first-time residents",Not specified,Not specified,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,Program dates flexible between March and July 2026; applications processed in order received.
Anderson Ranch Arts Center,https://www.andersonranch.org/,Artists-in-Residence Program,Residencies,"Snowmass Village, Colorado, USA",2025-12-15 00:00:00,2026-02-18 00:00:00,https://andersonranch.slideroom.com/#/permalink/program/87538,https://www.andersonranch.org/programs/artists-in-residence-program/,studio residency; time and space for visual art practice,"- Emerging and established visual artists (ceramics, new media, photography, furniture design/woodworking, painting/drawing, printmaking, sculpture)",$30 USD,Housing + studio + meals (fully funded fellowships available),Multidisciplinary (visual arts),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,requires_login,"Residency fees: $1,500 (fall 10-week) or $750 (spring 5-week) + $100 studio fee; select fully funded fellowships."
Fire Island Artist Residency,https://www.fireislandartistresidency.org/,Fire Island Artist Residency,Residencies,"Fire Island, New York, USA",Not specified,"April 1, 2026 (11:59 PM)",https://fiar.slideroom.com/#/permalink/program/87904,https://www.fireislandartistresidency.org/apply,"residency with lodging, workspace, travel/meals stipend, honorarium",- LGBTQIA+ emerging visual artists,$40 USD,Honorarium + travel/meals stipend,Multidisciplinary (visual arts),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,Application handled via SlideRoom portal; deadlines not listed on apply page. Deadline stated on apply page.
Kala Art Institute,https://www.kala.org/,Kala Fellowship Residency Program,Fellowships,"Berkeley, California, USA",2025-12-15 00:00:00,2026-03-01 00:00:00,https://kala.slideroom.com/,https://www.kala.org/residencies/fellowship-program/,artist residencies with access to specialized equipment and project support,"- Open to international, national, and local artists
- Producing innovative work across multiple media",$25 USD (waived Dec 15 2025?Jan 15 2026),"$3,000 cash award",Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,requires_login,Housing deposit $200 (applied toward residency costs or stipend).
John Simon Guggenheim Memorial Foundation,https://www.gf.org/,Guggenheim Fellowship,Fellowships,United States and Canada,Late summer 2026 (for 2027 competition),Not specified,https://www.gf.org/program/how-to-apply,https://www.gf.org/program/how-to-apply,"creative arts, humanities, sciences, and social sciences (mid-career)","- Mid-career professionals with record of accomplishment
- Creative arts, humanities, sciences, social sciences",Not specified,Not specified,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,2026 U.S./Canada competition closed; 2027 competition opens late summer 2026.
MASS MoCA,https://massmoca.org/,The Studios at MASS MoCA Residency,Residencies,"North Adams, Massachusetts, USA","March 1, 2026 (general application)","May 1, 2026 (general application)",https://massmocastudios.submittable.com/submit,https://massmoca.org/studios/,2- or 4-week residencies; studio space and time for visual artists and writers,"- Visual artists (painting, sculpture, installation, photography, video/new media, fiber, printmaking)
- Writers in all literary disciplines
- Artists at all career stages, income levels, and locations
- Not suitable for dancers/musicians or practices needing soundproofed rehearsal space",Not specified,Not specified,"Multidisciplinary (visual arts, writers)",https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,"Submittable lists Early Application for sessions Jan?Dec 2027; early applicants should plan to self-fund at $650/week. Alumni rate: $400/week (4-week) or $450/week (2-week). General application with fellowship opportunities opens March 1, 2026; deadline May 1, 2026."
CERF+,https://cerfplus.org/,CERF+ Emergency Relief Grant,Grants,United States (including U.S. territories),Rolling,Rolling,https://cerfplus.tfaforms.net/16,https://cerfplus.org/grants/emergency-relief/,emergency relief for craft artists facing recent disasters or hardships,"- Individual craft artists
- U.S.-based (including U.S. territories)
- Age 18+
- Public-facing craft practice
- Recent, substantially disruptive emergency or disaster",Free,3000.0,Sculpture / Three-dimensional art; Fiber / Materials / Textiles; Other: craft (materials-based folk/traditional),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Applications accepted on a rolling basis; no specific deadline listed. Updated application URL to direct CERF+ form.
The Cloud House,https://www.thecloudhouse.org/,The Cloud House Residency,Residencies,"Minneapolis, Minnesota, USA",Rolling,Rolling,https://www.thecloudhouse.org/application,https://www.thecloudhouse.org/,residency accommodation and support for contemporary art projects,"- Artists, writers, and curators working in contemporary art
- Intend to develop, exhibit, or curate work in Minnesota
- Available for 1-week or 4-6 week residency",$30 USD,Accommodation provided (no stipend listed),Multidisciplinary; Other: writing/curation,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Application form notes bookings for fall 2025 through 2026; refundable $500 deposit required upon acceptance.
South Arts,https://www.southarts.org/,Artist Creative Practice Grant,Grants,"Alabama, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee (USA)",2025-07-16 00:00:00,2026-04-30 (11:59 PM),https://southarts.my.salesforce.com/,https://www.southarts.org/grants-opportunities/artist-creative-practice,"professional development opportunities; project costs; travel, materials, equipment, services","- Age 18+
- Legal resident of a South Arts state
- Maintain residency during award period
- Not a degree-seeking student during grant period",Free,"$500-$3,000 (up to 2/3 of costs)",Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,requires_login,"Rolling review; final deadline April 30, 2026. Grant period: Nov 1, 2025 - Jun 30, 2026."
The Clemente Center,https://www.theclementecenter.org/,Discounted Rehearsal Space Program,Rehearsal space program,"New York City, New York, USA",Rolling,Rolling,https://www.theclementecenter.org/rehearsal-space-rentals,https://www.theclementecenter.org/rehearsal-space-rentals,discounted rehearsal space for performing artists,"- Performing arts community
- Prioritizes BIPOC artists and underserved NYC communities",$15/hour,Discounted rehearsal space,Performance,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Studio is 3rd Floor Room 309 (no elevator). Availability Tue-Sat 10am?10pm; Sun until 6pm.
The Steel Yard,https://www.thesteelyard.org/,Micro-Residency,Residencies,Not specified,Not specified,Not specified,https://www.thesteelyard.org/micro-residencies/,https://www.thesteelyard.org/micro-residencies/,short-term studio access for creative industrial art projects,"- Artists (non-discrimination policy)
- Program supports emerging and established artists",Free,Studio access (no fee); materials/consumables not included,Sculpture / Three-dimensional art (industrial/metal),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,"Micro-residencies offered year-round (max 3 months), but applications are currently closed due to restructuring."
The Steel Yard,https://www.thesteelyard.org/,Alloy Fellowship (Micro-Residency),Grants,Not specified,Not specified,Not specified,https://www.thesteelyard.org/micro-residencies/,https://www.thesteelyard.org/micro-residencies/,stipend for emerging artists participating in micro-residency,"- Emerging artists new to their practice
- Micro-residency participants
- Commit to 5 hours/month volunteer work",Free,$250/month stipend (limited Fellowships),Sculpture / Three-dimensional art (industrial/metal),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Alloy Fellowships are limited; program currently restructuring with applications closed.
Pollock-Krasner Foundation,https://www.pkf.org/,Pollock-Krasner Foundation Grant,Grants,Global,Rolling,Rolling,https://www.pkf.org/apply/,https://www.pkf.org/apply/grant-guidelines/,unrestricted support for professional visual artists,"- Professional visual artists (painters, sculptors, artists who work on paper/printmakers)
- Actively exhibiting in professional venues
- Not students; no funding for academic study
- Excludes primary focus on video, generative art, performance, filmmaking, craft, or photography",Free,"Up to $50,000",Painting / Drawing / Illustration; Sculpture / Three-dimensional art; Other: work on paper/printmaking,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,requires_login,Applications accepted on a rolling basis; no deadlines. Artists worldwide encouraged (sanctioned countries must contact PKF).
Musicians Foundation,https://www.musiciansfoundation.org/,One-Time Financial Assistance Grants,Grants,United States,Rolling,Not specified,https://musiciansfoundation.submittable.com/submit,https://www.musiciansfoundation.org/apply,emergency financial assistance to pay essential bills,"- Professional musicians (performer, composer/arranger, or educator)
- Worked as a professional musician in the U.S. for 5+ years
- Currently reside in the U.S.
- Specific time of need due to unexpected hardship",Free,Not specified,Sound / Music (experimental + industry),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Grant amount not listed on application page.
L.A. Studio,https://www.lastudio.org/,ART14 Residency,Residencies,"Patton, Pennsylvania, USA",Rolling,Rolling,https://docs.google.com/forms/d/e/1FAIpQLSd5jzh6qAd8w3ldm82GJLDcrK8VwVD4G8Q564lJVwjNmBwYLA/viewform,https://www.lastudio.org/art14-residency/residency,self-directed residency with lodging and studio access,"- Artists, writers, and musicians of all skill levels
- Minimum stay of 2 weeks",$500/week,Not specified,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Need-based discounts and artist scholarships mentioned; travel/materials/food not included.
Innovate Artist Grants,https://innovateartistgrants.org/,Innovate Artist Grant (Visual Art),Grants,Global,Not specified,Not specified,https://innovateartistgrants.org/apply,https://innovateartistgrants.org/,innovative visual art projects,"- Applicants age 18+
- Visual artists worldwide",Not specified,"$1,800 (2 grants per quarter: visual art + photography)",Painting / Drawing / Illustration; Sculpture / Three-dimensional art; Other: visual arts,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Page states application fee required but amount not listed; cycle-based with seasonal deadlines.
Innovate Artist Grants,https://innovateartistgrants.org/,Innovate Artist Grant (Photography),Grants,Global,Not specified,Not specified,https://innovateartistgrants.org/apply,https://innovateartistgrants.org/,innovative photography projects,"- Applicants age 18+
- Photographers worldwide",Not specified,"$1,800 (2 grants per quarter: visual art + photography)",Photography,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Page states application fee required but amount not listed; cycle-based with seasonal deadlines.
Indigo Arts Alliance,https://indigoartsalliance.me/,Mentorship Residency Program,Residencies,"Portland, Maine, USA",Rolling,Not specified,https://indigoartsalliance.me/mentorship-residency-program/,https://indigoartsalliance.me/mentorship-residency-program/,mentorship residency with studio access and nearby housing,"- Visiting or local artists
- National/International artists by nomination
- Applications via Submittable (link not provided on page)",Free,Housing + studio access,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,unverified,"Residency terms: National artists (1 month), International artists (2 months). Application window open year-round for Northeast region; detailed eligibility in FAQ."
CERF+,https://cerfplus.org/,CERF+ Get Ready Grants,Grants,United States (including U.S. territories),Not specified,2025-11-11 00:00:00,https://cerfplus.tfaforms.net/25,https://cerfplus.org/grants/get-ready-grants/,"studio safeguards, emergency readiness, business and practice protection","- Craft artists age 18+
- Lived and worked in U.S. or U.S. territories for past 2 years
- Not a 2025 Get Ready Grant recipient
- Priority to underrepresented craft artists (BIPOC, folk/traditional)",Free,"Up to $1,000",Sculpture / Three-dimensional art; Fiber / Materials / Textiles; Other: craft (materials-based folk/traditional),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,"Fall cycle closed Nov 11, 2025; verify next cycle dates."
South Arts,https://www.southarts.org/,Arts in Rural Places Grant,Grants,"AL, FL, GA, KY, LA, MS, NC, SC, TN (rural/isolated communities)",2025-07-16 00:00:00,Rolling (submit at least 60 days before project start),https://southarts.my.salesforce.com/,https://www.southarts.org/grants-opportunities/arts-rural-places,artist fee support for Southern artists; public arts programming,"- Nonprofit, government, or tribal org in South Arts region
- Rural/isolated communities or cities <=50,000
- Project includes Southern guest artist and at least two public activities",Free,"$500-$3,000 (requires dollar-for-dollar cash match)","Multidisciplinary (film, traditional arts, visual arts, performing arts, literary arts)",https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,requires_login,"Projects must occur between Oct 1, 2025 and Jun 30, 2026."
South Arts,https://www.southarts.org/,Call for Presenters and Venues (Jazz Road),Open calls,Not specified,Rolling,Not specified,https://goo.gl/forms/9Izbl9KH7NcORcdE3,https://www.southarts.org/grants-opportunities/call-presenters-and-venues,presenter/venue network for Jazz Road artist engagements,- Organizations that present jazz or wish to include jazz presenting,Free,Not specified,Sound / Music (experimental + industry),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Survey for presenters and venues to be contacted by artists.
South Arts,https://www.southarts.org/,Creative Learning Lab Webinars,Other: webinar series,Online,Not specified,Not specified,https://www.southarts.org/grants-opportunities/creative-learning-lab-webinars,https://www.southarts.org/grants-opportunities/creative-learning-lab-webinars,professional development webinars for arts professionals,- Arts professionals and artists (open audience),Free,Not applicable,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,verified,Webinar topics vary; specific dates not listed on main page.
South Arts,https://www.southarts.org/,Southern Circuit: Call for Filmmakers,Open calls,Not specified,Not specified,Not specified,https://www.southarts.org/grants-opportunities/draft-southern-circuit-call-filmmakers,https://www.southarts.org/grants-opportunities/draft-southern-circuit-call-filmmakers,independent film tour participation and screening opportunities,"- Filmmakers submitting eligible films
- Students may request fee waiver",$25 USD,Not specified,Filmmaking (fiction + non fiction + experimental),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,unverified,Page mentions paid travel reimbursements; application link not clearly listed.
South Arts,https://www.southarts.org/,Southern Circuit: Call for Screening Partners,Open calls,Not specified,Not specified,Not specified,https://www.southarts.org/grants-opportunities/draft-southern-circuit-call-screening-partners,https://www.southarts.org/grants-opportunities/draft-southern-circuit-call-screening-partners,screening partner participation in Southern Circuit film tour,- Screening partners/presenters able to host screenings and meet program requirements,Free,Not specified,Filmmaking (fiction + non fiction + experimental),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,unverified,Application link not clearly listed on page; verify current call details.
South Arts,https://www.southarts.org/,Emerging Traditional Artists Program (ETAP),Grants,"ARC counties in AL, GA, KY, MS, NC, SC, TN (USA)",2025-07-16 00:00:00,2025-09-30 00:00:00,https://southarts.my.salesforce.com/,https://www.southarts.org/grants-opportunities/emerging-traditional-artists-program,financial support for early-career folk and traditional artists,"- Individual folk/traditional artists
- Early career/practice stage
- Age 18+
- U.S. citizen/permanent resident
- ARC county resident for 2+ years",Free,5000.0,"Sound / Music (traditional); Fiber / Materials / Textiles; Other: folk/traditional arts, foodways",https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,requires_login,"Page lists deadline as Sept 30, 2025; guidelines also reference 2026?verify current cycle."
South Arts,https://www.southarts.org/,Jazz Road Creative Residencies,Residencies,United States (incl. territories),2025-01-15 00:00:00,2025-04-02 00:00:00,https://southarts.my.salesforce.com/,https://www.southarts.org/grants-opportunities/jazz-road-creative-residencies,jazz creative residencies and related project expenses,"- Professional jazz artists (individual applicants)
- U.S. citizens/permanent residents based in U.S./territories",Free,"$5,000-$40,000",Sound / Music (experimental + industry),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,requires_login,Previous Creative Residency awardees not eligible; grants awarded directly to artists.
South Arts,https://www.southarts.org/,Jazz Road Tours,Grants,United States,Not specified,Not specified,https://www.southarts.org/grants-opportunities/jazz-road-tours,https://www.southarts.org/grants-opportunities/jazz-road-tours,tour support for jazz artists into communities across the country,- Jazz artists (eligibility details not listed on page),Free,"Up to $15,000",Sound / Music (experimental + industry),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,unverified,Page lists grant amount; application details not clearly listed.
South Arts,https://www.southarts.org/,Professional Development Grants for Arts Organizations,Grants,"AL, FL, GA, KY, LA, MS, NC, SC, TN (USA)",2025-07-16 00:00:00,Rolling (submit at least 60 days before activity),https://southarts.my.salesforce.com/,https://www.southarts.org/grants-opportunities/professional-development-grants-arts-organizations,"professional development for arts organizations (training, travel, fees)","- Nonprofit or governmental arts orgs in South Arts region
- Operating budget $500,000 or less
- UEI required",Free,"$250-$1,000 (50% of expenses; cash match required)",Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-20 00:00:00,requires_login,"Activities must occur between Oct 1, 2025 and Jun 30, 2026."
